split,status,train_n,train_pos,val_n,val_pos,threshold,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP
host_disjoint_1,ok,3639.0,6.0,2180.0,23.0,0.019983539094650206,0.5244713963722228,0.637612469598296,0.5454545454545454,0.09917355371900827,0.16783216783216784,67.0,10.0,109.0,12.0
host_disjoint_2,ok,4985.0,6.0,834.0,23.0,0.004997992371009837,0.48373940109477304,0.6300057532980211,0.6363636363636364,0.23140495867768596,0.3393939393939394,61.0,16.0,93.0,28.0
host_disjoint_3,skipped_single_class_fold,,,,,,,,,,,,,,
host_disjoint_4,ok,4605.0,6.0,1214.0,23.0,0.004996740547588005,0.4095202318342814,0.605734729400278,0.38636363636363635,0.14049586776859505,0.20606060606060606,50.0,27.0,104.0,17.0
host_disjoint_5,ok,4927.0,6.0,892.0,23.0,0.004990872210953347,0.48094880326285283,0.6555831065616162,0.6031746031746031,0.3140495867768595,0.41304347826086957,52.0,25.0,83.0,38.0
host_disjoint_6,skipped_single_class_fold,,,,,,,,,,,,,,
host_disjoint_7,skipped_single_class_fold,,,,,,,,,,,,,,
host_disjoint_8,ok,3899.0,6.0,1920.0,23.0,0.024961591519743392,0.6099066223033165,0.6874453597033487,0.6521739130434783,0.12396694214876033,0.20833333333333334,69.0,8.0,106.0,15.0
host_disjoint_9,skipped_single_class_fold,,,,,,,,,,,,,,
host_disjoint_10,ok,3427.0,23.0,2392.0,6.0,0.32759353402954344,0.8300418589674788,0.8908795680976552,0.971830985915493,0.5702479338842975,0.71875,75.0,2.0,52.0,69.0
temporal_70_15_15,ok,4073.0,6.0,873.0,23.0,0.01999385689002302,0.686487066652356,0.763732333860271,0.8333333333333334,0.2892561983471074,0.4294478527607362,70.0,7.0,86.0,35.0
