Dataset,Prefix,Policy,Threshold,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP,F1_95CI
MalBehavD-V1,10,val_fpr_budget,0.47640954429706045,0.9672071733469355,0.9743818419472489,0.949438202247191,0.8756476683937824,0.9110512129380054,184,9,24,169,"[0.8786, 0.9400]"
MalBehavD-V1,10,val_max_f1,0.5628253442607978,0.9672071733469355,0.9743818419472489,0.975609756097561,0.8290155440414507,0.896358543417367,189,4,33,160,"[0.8639, 0.9272]"
MalBehavD-V1,10,oracle_test_max_f1_non_deployable,0.4043607726352171,0.9672071733469355,0.9743818419472489,0.9166666666666666,0.9119170984455959,0.9142857142857143,177,16,17,176,"[0.8830, 0.9412]"
MalBehavD-V1,25,val_fpr_budget,0.46983327228327215,0.9812746650916804,0.9852501777390498,0.9775280898876404,0.9015544041450777,0.9380053908355795,189,4,19,174,"[0.9127, 0.9626]"
MalBehavD-V1,25,val_max_f1,0.5066966863545811,0.9812746650916804,0.9852501777390498,0.9829545454545454,0.8963730569948186,0.9376693766937669,190,3,20,173,"[0.9115, 0.9627]"
MalBehavD-V1,25,oracle_test_max_f1_non_deployable,0.4098228808228807,0.9812746650916804,0.9852501777390498,0.9621621621621622,0.9222797927461139,0.9417989417989417,186,7,15,178,"[0.9155, 0.9646]"
MalBehavD-V1,50,val_fpr_budget,0.46740628815628793,0.9876909447233483,0.9901674243345072,0.978021978021978,0.9222797927461139,0.9493333333333334,189,4,15,178,"[0.9256, 0.9709]"
MalBehavD-V1,50,val_max_f1,0.4920503713169617,0.9876909447233483,0.9901674243345072,0.9779005524861878,0.917098445595855,0.946524064171123,189,4,16,177,"[0.9227, 0.9681]"
MalBehavD-V1,50,oracle_test_max_f1_non_deployable,0.42426911976911974,0.9876909447233483,0.9901674243345072,0.9682539682539683,0.9481865284974094,0.9581151832460733,187,6,10,183,"[0.9366, 0.9769]"
MalBehavD-V1,100,val_fpr_budget,0.36453199578199574,0.9904829659856641,0.9924435541200777,0.9538461538461539,0.9637305699481865,0.9587628865979382,184,9,7,186,"[0.9371, 0.9777]"
MalBehavD-V1,100,val_max_f1,0.453063492063492,0.9904829659856641,0.9924435541200777,0.9787234042553191,0.9533678756476683,0.9658792650918635,189,4,9,184,"[0.9460, 0.9840]"
MalBehavD-V1,100,oracle_test_max_f1_non_deployable,0.4948888888888889,0.9904829659856641,0.9924435541200777,0.983957219251337,0.9533678756476683,0.968421052631579,190,3,9,184,"[0.9494, 0.9850]"
MalBehavD-V1,full,val_fpr_budget,0.34397222222222223,0.9902145024027491,0.9921948347240016,0.9438775510204082,0.9585492227979274,0.9511568123393316,182,11,8,185,"[0.9291, 0.9720]"
MalBehavD-V1,full,val_max_f1,0.42244444444444434,0.9902145024027491,0.9921948347240016,0.9735449735449735,0.9533678756476683,0.9633507853403142,188,5,9,184,"[0.9430, 0.9809]"
MalBehavD-V1,full,oracle_test_max_f1_non_deployable,0.4221031746031745,0.9902145024027491,0.9921948347240016,0.9736842105263158,0.9585492227979274,0.9660574412532638,188,5,8,185,"[0.9468, 0.9834]"
